Id,Name,Sport,SportId,StateName,StateId,CityName,CityId,Rating,SportRadarId,ImageUrl
111,Chicago Cubs,MLB,4,IL,13,Chicago,11,1500,55714da8-fcaf-4574-8443-59bfb511a524,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/cubs.svg
112,St. Louis Cardinals,MLB,4,MO,25,St. Louis,53,1500,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/cardinals.svg
113,Milwaukee Brewers,MLB,4,WI,49,Milwaukee,28,1500,dcfd5266-00ce-442c-bc09-264cd20cf455,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/brewers.svg
114,Los Angeles Dodgers,MLB,4,CA,5,Los Angeles,25,1500,ef64da7f-cfaf-4300-87b0-9313386b977c,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/dodgers.svg
115,Arizona Diamondbacks,MLB,4,AZ,3,Phoenix,41,1500,25507be1-6a68-4267-bd82-e097d94b359b,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/diamondbacks.svg
116,San Francisco Giants,MLB,4,CA,5,San Francisco,50,1500,a7723160-10b7-4277-a309-d8dd95a8ae65,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/giants.svg
117,Colorado Rockies,MLB,4,CO,6,Denver,16,1500,29dd9a87-5bcc-4774-80c3-7f50d985068b,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/rockies.svg
118,San Diego Padres,MLB,4,CA,5,San Diego,49,1500,d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/padres.svg
119,Philadelphia Phillies,MLB,4,PA,38,Philadelphia,40,1500,2142e1ba-3b40-445c-b8bb-f1f8b1054220,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/phillies.svg
120,New York Mets,MLB,4,NY,32,New York,34,1500,f246a5e5-afdb-479c-9aaa-c68beeda7af6,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/mets.svg
121,Miami Marlins,MLB,4,FL,9,Mimai,29,1500,03556285-bdbb-4576-a06d-42f71f46ddc5,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/marlins.svg
122,Atlanta Braves,MLB,4,GA,10,Atlanta,2,1500,12079497-e414-450a-8bf2-29f91de646bf,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/braves.svg
123,Washington Nationals,MLB,4,DC,51,Washington,59,1500,d89bed32-3aee-4407-99e3-4103641b999a,https://sportrankerstorage.blob.core.windows.net/mlb-team-logos/nationals.svg
